label,min,max,description
NEB 4,42816.45,52086.69,
NEB 5,48164.70,58738.42,
NEB 6,54312.67,66231.85,
NEB 7,61375.81,74671.93,
NEB 8,69201.93,84194.04,
NEB 9,81149.44,98726.47,
NEB 10,91492.26,111316.27,
NEB 11,100183.17,121888.93,
NEB 12,109700.04,133469.11,
NEB 13,119852.90,149973.55,
NEB 14,134965.70,168759.60,
NEB 15,149868.60,187125.85,
NEB 16,167500.20,209480.20,
