label,min,max,description
CFIA-IN (CS-01),56946,72820,CS - Informatics Group
CFIA-IN (CS-02),70800,86368,CS - Informatics Group
CFIA-IN (CS-03),83544,103332,CS - Informatics Group
CFIA-IN (CS-04),95880,118565,CS - Informatics Group
CFIA-IN (CS-05),109453,141396,CS - Informatics Group
