label,min,max,description
UNI-1,38269,46276,
UNI-2,44029,53608,
UNI-3,48867,58651,
UNI-4,54462,64150,
UNI-5,60428,71092,
UNI-6,70269,82670,
UNI-7,78001,91764,
UNI-8,83250,97942,
UNI-9,89304,105060,
UNI-10,100484,118217,
UNI-11,113137,133101,
